chromatin_code,motif_type,Motif Type,A,B,C,p_value,real_count,random_mean_count,log_fold_change
000001
2,222,I,repressed,weak,weak,0,86,1,3.761200116
21,222,I,repressed,repressed,weak,0,191,1.055555556,4.531727273
30,222,I,repressed,repressed,repressed,0,177,1,4.483002552
1002,222,I,active,weak,weak,0,116,1,4.060443011
1011,222,I,active,repressed,weak,0,209,1.044444444,4.627208165
1020,222,I,active,repressed,repressed,0,178,1.03125,4.473132183
2001,222,I,active,active,weak,0,187,1,4.537961436
2010,222,I,active,active,repressed,0,134,1.102040816,4.15493111
3000,222,I,active,active,active,0,218,1,4.691347882
200010,211,II,repressed,repressed,repressed,0,1608,1191.422,0.299004638
20001000,211,II,active,active,active,0,1254,694.306,0.589741685
20001,211,,weak,weak,weak,0.486,176,175.832,-0.004716134
20010,211,,weak,repressed,weak,1,248,307.2,-0.217320177
20100,211,,weak,poised,weak,0.518,11,11.092,-0.094648804
21000,211,,weak,active,weak,0.068,334,301.56,0.098861388
110001,211,,repressed,weak,weak,1,414,688.204,-0.509671335
110010,211,,repressed,repressed,weak,1,794,1211.046,-0.422981658
110100,211,,repressed,poised,weak,0.998,22,43.248,-0.698767719
111000,211,,repressed,active,weak,1,590,1185.67,-0.698783807
200001,211,,repressed,weak,repressed,1,443,678.172,-0.427304639
200100,211,,repressed,poised,repressed,0.052,58,42.62,0.28492725
201000,211,,repressed,active,repressed,1,447,1164.992,-0.958768911
1010001,211,,poised,weak,weak,0.776,15,18.146,-0.244043615
1010010,211,,poised,repressed,weak,0.474,32,31.634,-0.019618787
1010100,211,,poised,poised,weak,0.3,2,2.05,-0.42199441
1011000,211,,poised,active,weak,0.998,14,30.902,-0.823611374
1100001,211,,poised,weak,repressed,0.88,28,35.476,-0.26445
1100010,211,,poised,repressed,repressed,0.068,79,62.704,0.215200498
1100100,211,,poised,poised,repressed,0.244,4,3.1875,-0.045809536
1101000,211,,poised,active,repressed,1,27,60.348,-0.820725705
2000010,211,,poised,repressed,poised,0.058,3,1.473498233,0.192978851
10010001,211,,active,weak,weak,0.854,505,532.322,-0.05456694
10010010,211,,active,repressed,weak,1,526,938.266,-0.579797506
10010100,211,,active,poised,weak,0.842,27,33.288,-0.238958573
10011000,211,,active,active,weak,0.822,882,913.636,-0.036334116
10100001,211,,active,weak,repressed,1,553,1043.662,-0.636090666
10100010,211,,active,repressed,repressed,1,961,1842.958,-0.651695218
10100100,211,,active,poised,repressed,1,33,66.172,-0.710748933
10101000,211,,active,active,repressed,1,796,1797.168,-0.814924462
11000001,211,,active,weak,poised,0.958,18,27.48,-0.458830329
11000010,211,,active,repressed,poised,0.978,33,47.818,-0.391591536
11000100,211,,active,poised,poised,0.184,4,2.818181818,0.046520016
11001000,211,,active,active,poised,1,25,47.1,-0.654406352
20000001,211,,active,weak,active,0.746,386,401.95,-0.042975115
20000010,211,,active,repressed,active,1,315,713.56,-0.81909433
20000100,211,,active,poised,active,1,6,25.634,-1.490429126
3,222,,weak,weak,weak,0,17,1,2.140066163
102,222,,poised,weak,weak,0,3,1,0.405465108
111,222,,poised,repressed,weak,0,10,1,1.609437912
120,222,,poised,repressed,repressed,0,14,1,1.945910149
210,222,,poised,poised,repressed,0,5,0,1.609437912
1101,222,,active,poised,weak,0,6,1,1.098612289
1110,222,,active,poised,repressed,0,8,1,1.386294361
1200,222,,active,poised,poised,0,1,0,0
2100,222,,active,active,poised,0,7,1,1.252762968
